# These data are from NREL and reV. Link here https://www.nrel.gov/gis/solar-supply-curves.html,,,,,,,
sc_gid,capacity_factor,global_horizontal_irradiance,capacity_mw,area_sq_km,latitude,longitude,distance_to_transmission_km
72,0.130556822,3.154075623,355.8479344,11.12024795,48.031,-124.145,74.89527177
73,0.141951591,3.427659512,1431.470855,44.73346421,48.088,-123.832,80.76490675
74,0.144619092,3.492063284,2646.400866,82.70002705,48.116,-123.675,75.37945322
75,0.147474959,3.561122179,1056.094833,33.00296353,48.144,-123.518,32.38048647
76,0.142443508,3.460808277,893.2912875,27.91535273,48.282,-122.73,25.80187392
77,0.139810786,3.388885975,1279.667869,39.9896209,48.309,-122.572,36.01571286
78,0.135054752,3.299351931,1804.356,56.386125,48.336,-122.414,34.29946346
79,0.13109383,3.189217806,3463.990313,108.2496973,48.363,-122.256,58.30180047
80,0.12997365,3.124451876,3414.674981,106.7085932,48.39,-122.097,61.10977086
81,0.128999516,3.102354527,1144.225491,35.75704658,48.416,-121.939,64.63540746
82,0.131504744,3.16293335,49.87267295,1.55852103,48.442,-121.78,8.011098775
83,0.130896538,3.204354525,1467.896175,45.87175547,48.469,-121.621,73.70273099
84,0.13056007,3.19928813,421.2907137,13.1653348,48.495,-121.462,34.36755752
85,0.169794947,3.849158525,3184.746356,99.52332363,48.746,-119.863,116.5652363
86,0.167032152,3.843832493,1737.666422,54.30207568,48.771,-119.703,118.1465739
87,0.164116189,3.850824594,3494.762466,109.2113271,48.795,-119.542,120.1291743
88,0.164752483,3.876575232,3482.901534,108.8406729,48.819,-119.381,122.5712905
89,0.165555492,3.851737022,4063.040241,126.9700075,48.843,-119.22,119.9990499
90,0.160247177,3.740610838,3954.70755,123.5846109,48.866,-119.059,117.493591
91,0.157113537,3.690449238,3447.5544,107.736075,48.89,-118.897,115.501451
92,0.153578848,3.648481369,1220.549513,38.14217227,48.913,-118.736,113.9551867
93,0.153999582,3.669989586,2364.987375,73.90585547,48.936,-118.574,112.9026738
94,0.152917862,3.643836021,264.5110055,8.265968921,48.959,-118.413,83.0517654
95,0.149484694,3.58404541,420.2254055,13.13204392,48.982,-118.251,112.398096
96,0.150691614,3.601990938,18.31507295,0.57234603,49.005,-118.089,25.25622273
97,0.151510641,3.603531837,12.1824,0.3807,49.027,-117.927,18.35335973
98,0.130213141,3.184069633,1139.238422,35.60120068,47.851,-124.566,108.1021556
99,0.128963009,3.13883996,4078.099913,127.4406223,47.88,-124.41,101.2936441
100,0.128262803,3.102394819,951.9145945,29.74733108,47.909,-124.254,94.62471155
101,0.146000013,3.518148184,59.56416079,1.861380025,48.022,-123.628,6.837829611
102,0.145234466,3.491503239,1533.948131,47.9358791,48.05,-123.471,62.36068309
103,0.140352547,3.401523352,3226.023956,100.8132486,48.078,-123.314,59.68787158
104,0.14127934,3.450758219,2351.2032,73.4751,48.106,-123.157,51.27770705
105,0.13999173,3.410315752,282.9971355,8.843660486,48.133,-123,13.43752946
106,0.140000001,3.415919542,95.56704316,2.986470099,48.161,-122.842,4.460703693
107,0.138119504,3.391226292,617.4636328,19.29573853,48.188,-122.684,32.79184776
108,0.136000007,3.351000071,68.37955137,2.13686098,48.215,-122.527,7.867563868
109,0.133278921,3.264407635,1731.880997,54.12128115,48.242,-122.369,27.10499928
110,0.129699901,3.162606716,3581.615222,111.9254757,48.269,-122.211,51.07771883
111,0.126514837,3.080588579,3881.665294,121.3020404,48.295,-122.052,54.18831667
112,0.127470061,3.088859558,2728.935563,85.27923633,48.322,-121.894,58.21994899
113,0.128999978,3.101000309,5.9616,0.1863,48.348,-121.736,13.90388588
114,0.131932035,3.224822998,1015.117945,31.72243579,48.374,-121.577,68.07613582
115,0.132383212,3.237233639,30.4378541,0.951182941,48.4,-121.418,18.35090283
116,0.172851801,3.970783949,642.6371672,20.08241147,48.578,-120.302,37.29747297
117,0.170805737,3.946411133,310.1431781,9.691974316,48.603,-120.142,27.96733094
118,0.169634655,3.852413177,952.3604109,29.76126284,48.652,-119.822,61.1863981
119,0.167922005,3.868003845,2475.696909,77.36552842,48.676,-119.662,110.7012134
120,0.167031422,3.893636465,3978.999956,124.3437486,48.7,-119.501,112.8201017
121,0.168075547,3.914147854,4138.374291,129.3241966,48.724,-119.341,115.4163043
122,0.171460196,3.923311234,3377.098575,105.5343305,48.748,-119.18,112.8689441
123,0.162032932,3.774717093,3455.094488,107.9717027,48.771,-119.019,110.2005635
124,0.159130737,3.725148201,2292.356953,71.63615479,48.795,-118.858,108.0913233
125,0.158239216,3.734190226,2337.851869,73.0578709,48.818,-118.697,106.4352736
126,0.156098738,3.708122253,2707.564219,84.61138184,48.841,-118.535,105.3065336
127,0.157850087,3.717416525,330.6510492,10.33284529,48.864,-118.374,76.74426494
128,0.150626615,3.607703686,1530.931134,47.84159795,48.887,-118.212,104.7654531
129,0.155475006,3.687304974,1228.429167,38.38841147,48.91,-118.05,105.3481339
130,0.15270102,3.641186953,2200.488778,68.76527432,48.932,-117.889,106.4187483
131,0.149922818,3.597501755,2733.857578,85.43304932,48.954,-117.727,108.0287549
132,0.151190326,3.594187975,1413.246487,44.16395273,48.977,-117.564,110.2416194
133,0.148000002,3.53000021,33.75561489,1.054862965,48.999,-117.402,2.4592282
134,0.133136749,3.223831177,127.5782353,3.986819852,47.758,-124.517,58.05112809
135,0.130812392,3.172450066,3779.970553,118.1240798,47.787,-124.362,97.92044414
136,0.129136473,3.127300739,3444.944175,107.6545055,47.815,-124.206,90.98137032
137,0.130881414,3.152763367,1335.852,41.745375,47.844,-124.05,84.1895986
138,0.136807799,3.295465469,1015.257923,31.72681011,47.984,-123.267,52.4116164
139,0.137059927,3.325551033,1937.52,60.5475,48.012,-123.111,49.02146765
140,0.138037965,3.353301287,2433.250378,76.03907432,48.04,-122.954,40.94066639
141,0.139080197,3.381728172,1529.489841,47.79655752,48.067,-122.796,32.98531884
142,0.13638787,3.357003927,757.3616438,23.66755137,48.094,-122.639,27.04905185
143,0.136206567,3.356198072,101.4042322,3.168882257,48.121,-122.481,4.642784881
144,0.133233696,3.268105745,2661.421556,83.16942363,48.148,-122.324,41.46297209
145,0.129669175,3.178566694,2695.270444,84.22720137,48.175,-122.166,43.99710347
146,0.126006767,3.088256836,3851.463178,120.3582243,48.201,-122.008,47.57759296
147,0.127579987,3.096525192,991.9117617,30.99724255,48.228,-121.85,52.12121805
148,0.130797327,3.196330547,1023.031266,31.96972705,48.254,-121.692,57.2709855
149,0.132341996,3.249846935,1076.776411,33.64926284,48.28,-121.533,38.86718353
150,0.131999984,3.237878799,128.7394541,4.023107941,48.306,-121.375,24.84640076
151,0.169725165,3.927960396,2269.420284,70.91938389,48.483,-120.261,44.62931065
152,0.17050837,3.954277039,1236.788367,38.64963647,48.508,-120.101,50.80723696
153,0.166443512,3.843756676,1975.915266,61.74735205,48.557,-119.781,101.5566092
154,0.1680765,3.893543482,3660.328997,114.3852812,48.581,-119.621,103.2879669
155,0.169256404,3.93627882,4138.089019,129.3152818,48.605,-119.461,105.5571419
156,0.17047216,3.934033632,4164.805097,130.1501593,48.629,-119.3,108.3374596
157,0.16776678,3.863939762,4149.478378,129.6711993,48.653,-119.14,105.8072964
158,0.16390352,3.796952963,3752.202488,117.2563277,48.676,-118.979,102.9556986
159,0.160073102,3.735354185,2185.867266,68.30835205,48.7,-118.818,100.6897889
160,0.158130616,3.731800079,3420.009338,106.8752918,48.723,-118.657,98.91090243
161,0.158945769,3.741534472,729.1813641,22.78691763,48.746,-118.496,66.09709053
162,0.152470648,3.648584366,1932.304866,60.38452705,48.792,-118.174,97.14060583
163,0.154715836,3.697356701,3838.987913,119.9683723,48.814,-118.012,97.68957455
164,0.153427541,3.669455528,3974.300691,124.1968966,48.837,-117.851,98.92466127
165,0.152584776,3.627719641,3946.859156,123.3393486,48.859,-117.689,100.660726
166,0.151764527,3.602762222,884.9062688,27.6533209,48.881,-117.527,11.03845754
167,0.148382723,3.544726372,289.9255465,9.060173328,48.903,-117.365,94.90617265
168,0.150008619,3.594623327,452.1096,14.128425,49.011,-116.553,118.2767251
169,0.150999978,3.601000309,38.66486748,1.208277109,49.032,-116.39,44.61265152
170,0.132125989,3.185722113,18.51465608,0.578583002,47.664,-124.469,59.64614943
171,0.13355349,3.184321404,3979.564931,124.3614041,47.693,-124.314,95.02908757
172,0.133107141,3.162614346,4166.326631,130.1977072,47.722,-124.158,87.8612793
173,0.131213725,3.16178894,3844.552866,120.1422771,47.75,-124.002,80.78717274
174,0.133000001,3.187999964,16.848,0.5265,47.779,-123.846,26.90720191
175,0.132544979,3.22230649,2635.594706,82.36233457,47.946,-122.908,38.42746746
176,0.135072738,3.300798178,2933.428669,91.6696459,47.973,-122.751,34.95116124
177,0.13691318,3.364680052,574.1176219,17.94117568,48,-122.594,18.79976529
178,0.136668965,3.356817484,1701.787978,53.18087432,48.027,-122.436,16.21484944
179,0.133456931,3.270884037,1404.843244,43.90135137,48.054,-122.279,11.84134984
180,0.12800993,3.151162148,2025.959091,63.31122158,48.081,-122.121,37.1441561
181,0.125443488,3.074755192,3802.020778,118.8131493,48.107,-121.963,41.34163374
182,0.125150025,3.049428463,1208.279025,37.75871953,48.134,-121.806,46.48148072
183,0.169223905,3.925661087,2077.016175,64.90675547,48.389,-120.219,86.8753902
184,0.171738446,3.976392031,2652.541172,82.89191162,48.413,-120.059,55.44315056
185,0.17711857,4.000977516,680.1226383,21.25383245,48.438,-119.9,36.65486854
186,0.170009866,3.908314705,2637.624516,82.42576611,48.462,-119.74,94.04237282
187,0.169099525,3.928914547,4104.592481,128.268515,48.486,-119.58,95.91412488
188,0.172475517,3.978783607,3933.896625,122.9342695,48.51,-119.42,98.35928818
189,0.173915222,3.96512723,4133.667178,129.1770993,48.534,-119.26,101.3358824
190,0.16762431,3.850581646,4139.6832,129.3651,48.558,-119.1,98.82960697
191,0.163559467,3.805006981,3847.945753,120.2483048,48.581,-118.939,95.77090606
192,0.157726541,3.717453241,2330.166488,72.81770273,48.605,-118.779,93.3483532
193,0.159566775,3.758346319,2416.811934,75.52537295,48.628,-118.618,91.42472983
194,0.154180899,3.698976994,1800.916411,56.27863784,48.697,-118.135,89.50605633
195,0.155916005,3.729777098,3811.834181,119.1198182,48.719,-117.974,90.11577444
196,0.157007888,3.71605134,2631.154894,82.22359043,48.742,-117.813,27.88888699
197,0.152479336,3.620132446,1144.658334,35.77057295,48.764,-117.651,93.33394797
198,0.146477327,3.505670547,305.2831781,9.540099316,48.786,-117.49,86.76821879
199,0.147545293,3.521740913,136.1162918,4.253634119,48.808,-117.328,4.559097727
200,0.142693758,3.397684574,35.21232158,1.100385049,48.851,-117.004,17.49239162
201,0.145430654,3.427908897,1759.351134,54.97972295,48.873,-116.842,106.9979522
202,0.150178045,3.595388651,831.708,25.990875,48.915,-116.517,110.9909426
203,0.149133623,3.568177462,1102.437338,34.4511668,48.936,-116.355,113.7233297
204,0.161778703,3.722972631,46.85558511,1.464237035,48.977,-116.03,22.32907741
205,0.161096752,3.724933624,1493.782509,46.68070342,48.998,-115.867,124.4142705
206,0.154208347,3.619859695,630.2577094,19.69555342,49.018,-115.704,128.6696326
207,0.150179237,3.546393633,106.3938243,3.32480701,49.038,-115.541,19.49330236
208,0.134168744,3.216691971,206.0277082,6.438365881,47.571,-124.421,69.15751528
209,0.134924889,3.207594395,3871.006706,120.9689596,47.6,-124.266,92.67868156
210,0.133401722,3.168558598,3123.06435,97.59576094,47.628,-124.11,85.30316042
211,0.131814361,3.170717478,1172.229469,36.6321709,47.657,-123.955,78.04061324
212,0.13254559,3.232372522,2778.561731,86.8300541,47.852,-122.862,32.18247711
213,0.134669617,3.298192739,2797.568888,87.42402773,47.879,-122.705,27.94371494
214,0.137428448,3.37838769,704.8244109,22.02576284,47.906,-122.548,17.73421895
215,0.137264371,3.369138718,1141.602356,35.67507363,47.933,-122.391,11.65081776
216,0.132456109,3.26846385,235.5635355,7.361360486,47.96,-122.234,1.821790219
217,0.127878338,3.155308962,1805.084241,56.40888252,47.987,-122.077,30.65670352
218,0.125391886,3.083106518,3836.375156,119.8867236,48.013,-121.919,35.64074252
219,0.124389485,3.026148558,258.3705568,8.074079901,48.039,-121.762,12.55995539
220,0.129999995,3.113449335,94.0896,2.9403,48.066,-121.604,16.92558672
221,0.170619354,3.952479601,446.2413082,13.94504088,48.294,-120.177,30.80616493
222,0.170118049,3.955752611,1697.436,53.044875,48.319,-120.018,55.48481288
223,0.174142465,3.989584684,2658.746531,83.0858291,48.343,-119.859,85.1753447
224,0.172533333,3.98060751,4087.962422,127.7488257,48.367,-119.699,86.5545027
225,0.169929639,3.95853138,4004.144888,125.1295277,48.391,-119.54,88.58746581
226,0.173723191,4.001691818,4014.103331,125.4407291,48.415,-119.38,91.23224117
227,0.174368232,3.958512783,4142.145347,129.4420421,48.439,-119.22,94.43697888
228,0.168265894,3.865950108,4131.031134,129.0947229,48.463,-119.06,91.95571366
229,0.163152039,3.80343771,3078.692044,96.20912637,48.486,-118.9,88.68802885
230,0.160569504,3.779838324,958.1976,29.943675,48.51,-118.739,44.46380525
231,0.164912552,3.826038122,59.26348389,1.851983871,48.533,-118.579,10.37040043
232,0.159150422,3.763319731,516.2564109,16.13301284,48.579,-118.258,59.58469535
233,0.156772196,3.752691507,2385.648197,74.55150615,48.601,-118.097,81.80338154
234,0.156696856,3.744936943,3353.03955,104.7824859,48.624,-117.936,82.55111751
235,0.158132747,3.738636017,721.6101422,22.55031694,48.646,-117.775,32.50087279
236,0.147177324,3.53062439,894.7014469,27.95942021,48.69,-117.452,88.6596305
237,0.142000005,3.387000322,25.92,0.81,48.756,-116.968,20.65345325
238,0.145390376,3.458617926,1214.948109,37.96712842,48.777,-116.806,99.46969547
239,0.155015975,3.60432148,291.8592,9.1206,48.798,-116.644,78.41157936
240,0.152682915,3.640321016,63.7632,1.9926,48.819,-116.482,14.02223863
241,0.151814222,3.622223377,1650.922509,51.59132842,48.84,-116.319,106.6762544
242,0.154839888,3.605199814,858.6518273,26.8328696,48.882,-115.995,113.8860615
243,0.156110659,3.647373438,3052.207069,95.3814709,48.902,-115.832,118.0244297
244,0.152533561,3.598356485,3799.662159,118.7394425,48.922,-115.669,122.5123561
245,0.151923597,3.575700521,2765.822203,86.43194385,48.942,-115.507,127.2903366
246,0.159116268,3.699553967,2413.351463,75.4172332,48.962,-115.344,132.3662014
247,0.153480262,3.637540102,1780.076756,55.62739863,48.982,-115.181,137.6884877
248,0.149609059,3.581816673,654.9413836,20.46691824,49.002,-115.018,143.2297552
249,0.150837749,3.528171778,161.1472219,5.035850684,49.021,-114.854,10.88455291
250,0.149999976,3.511000156,31.58092705,0.98690397,49.04,-114.691,15.69210334
251,0.133898705,3.223134756,1040.283633,32.50886353,47.478,-124.373,98.42883217
252,0.13553679,3.226789713,3873.077775,121.0336805,47.506,-124.218,90.91039456
253,0.132670984,3.178691626,2516.041491,78.62629658,47.535,-124.063,83.41262391
254,0.139123723,3.377350569,92.34518906,2.885787158,47.731,-122.973,3.813134819
255,0.138291329,3.358270645,1127.434444,35.23232637,47.758,-122.816,29.86101918
256,0.136060491,3.342298031,2229.783441,69.68073252,47.785,-122.66,23.20111979
257,0.136704803,3.36284399,1690.352044,52.82350137,47.812,-122.503,14.84849277
258,0.139149427,3.417735338,19.9843196,0.624509988,47.839,-122.346,0.885527384
259,0.129974112,3.212398052,666.4498383,20.82655745,47.866,-122.189,0.961420292
260,0.12844488,3.175026417,2440.274597,76.25858115,47.893,-122.032,24.86107842
261,0.125743508,3.100521564,3704.284153,115.7588798,47.919,-121.875,30.79539677
262,0.123892896,3.02477479,2134.475803,66.70236885,47.945,-121.718,37.35489253
263,0.125416681,3.0469625,68.42620547,2.138318921,47.971,-121.56,10.94124157
264,0.170133054,3.940684795,1727.793534,53.99354795,48.199,-120.136,76.73689794
265,0.177287579,4.054885864,2348.841797,73.40130615,48.224,-119.977,66.31250418
266,0.173231468,4.005639553,3748.392197,117.1372562,48.248,-119.818,77.58420757
267,0.172202066,4.001717091,4081.700363,127.5531363,48.273,-119.659,79.17966974
268,0.174333632,4.021975517,4009.624538,125.3007668,48.297,-119.499,81.40484914
269,0.172074631,3.975028276,3761.440538,117.5450168,48.321,-119.34,84.27598878
270,0.171273813,3.922580004,4097.537381,128.0480432,48.344,-119.18,87.66583017
271,0.166419283,3.844422579,3237.190313,101.1621973,48.368,-119.02,85.21076334
272,0.16258128,3.801490307,4187.946291,130.8733216,48.391,-118.86,81.67354256
273,0.162119344,3.804768085,4177.204931,130.5376541,48.415,-118.7,78.80145446
274,0.165275142,3.826160431,3215.287913,100.4777473,48.438,-118.54,76.53630419
275,0.160781533,3.761713028,2589.646444,80.92645137,48.461,-118.38,74.99858059
276,0.158328161,3.76663208,2411.555288,75.36110273,48.483,-118.219,74.14510636
277,0.16185531,3.815298557,2764.865644,86.40205137,48.506,-118.059,74.1770354
278,0.155718684,3.727511644,3948.427519,123.38836,48.529,-117.898,74.99935223
279,0.156746894,3.723409891,2768.857172,86.52678662,48.551,-117.737,76.5201307
280,0.155895501,3.675998449,2094.190833,65.44346353,48.573,-117.576,78.77084936
281,0.147975579,3.54228878,395.4899672,12.35906147,48.595,-117.415,64.41099324
282,0.147141755,3.525780916,131.6450918,4.113909119,48.66,-116.931,26.24427425
283,0.15019092,3.555555105,1315.914356,41.12232363,48.681,-116.77,91.96683032
284,0.150810555,3.517677784,580.0896,18.1278,48.703,-116.608,94.07030541
285,0.153701812,3.670754671,794.7952875,24.83735273,48.724,-116.446,96.6735903
286,0.155291155,3.700257063,2832.949688,88.52967773,48.745,-116.284,99.80937597
287,0.153268933,3.644523621,871.2956109,27.22798784,48.765,-116.122,103.3539471
288,0.153458714,3.601451159,1623.893189,50.74666216,48.786,-115.96,107.4085842
289,0.154213801,3.626470327,2958.431091,92.45097158,48.806,-115.798,111.7786213
290,0.152194604,3.592792511,3964.873556,123.9022986,48.826,-115.635,116.5154603
291,0.156224057,3.635534048,2742.328406,85.6977627,48.846,-115.473,121.5375844
292,0.161199272,3.735756874,2769.598575,86.54995547,48.866,-115.31,126.8528568
293,0.153162345,3.639418125,3512.211891,109.7566216,48.886,-115.147,132.4063222
294,0.147676989,3.527985573,2413.6704,75.4272,48.906,-114.984,138.1689413
295,0.149644926,3.505322456,521.8344,16.307325,48.925,-114.821,144.0557694
296,0.150956213,3.532371521,353.5202918,11.04750912,48.944,-114.658,56.9273153
297,0.134589106,3.228802681,1804.646334,56.39519795,47.384,-124.325,97.3761598
298,0.135749876,3.227548361,4086.329513,127.6977973,47.413,-124.171,89.79418475
299,0.130169377,3.173242569,3848.946356,120.2795736,47.442,-124.016,82.17897421
300,0.127606735,3.129724979,542.3319563,16.94787363,47.47,-123.861,68.42727817
301,0.137935176,3.339004517,823.3980328,25.73118853,47.609,-123.083,36.96107533
302,0.138984635,3.397344589,1460.594531,45.6435791,47.637,-122.927,29.63515122
303,0.141295075,3.4292593,1504.687134,47.02147295,47.664,-122.771,22.53279264
304,0.138841838,3.374134779,1182.781491,36.96192158,47.691,-122.615,15.94601858
305,0.137720734,3.383135557,155.5796109,4.861862842,47.718,-122.458,4.858031322
306,0.141446158,3.438616991,81.58838906,2.549637158,47.745,-122.302,1.085341484
307,0.12965633,3.197878361,1044.876713,32.65239727,47.772,-122.145,3.747506125
308,0.128131002,3.171592474,3336.043978,104.2513743,47.798,-121.988,20.2509438
309,0.1256807,3.108008623,3280.354706,102.5110846,47.825,-121.831,27.26782544
310,0.121898599,3.01514101,1382.0544,43.1892,47.851,-121.674,34.52040934
311,0.186287731,4.174446106,931.1137945,29.09730608,48.08,-120.253,20.91329997
312,0.17400144,4.01446867,656.1673945,20.50523108,48.105,-120.095,22.68491291
313,0.176008642,4.055725098,4192.785281,131.02454,48.129,-119.936,69.14962042
314,0.174513415,4.041338921,4124.968538,128.9052668,48.154,-119.777,70.08787874
315,0.176310614,4.041740894,4089.605709,127.8001784,48.178,-119.618,71.77202936
316,0.17646648,4.029329777,4087.977863,127.7493082,48.202,-119.459,74.22136875
317,0.171816692,3.958653212,3994.181381,124.8181682,48.226,-119.3,77.36286247
318,0.17158632,3.931087017,4164.607913,130.1439973,48.249,-119.14,81.05439568
319,0.164812177,3.848905802,3914.648241,122.3327575,48.273,-118.981,78.66269192
320,0.164579019,3.840757132,4208.560538,131.5175168,48.296,-118.821,74.81217001
321,0.163813278,3.833355904,4107.708197,128.3658812,48.32,-118.661,71.65419024
322,0.165696606,3.833771229,4173.920888,130.4350277,48.343,-118.501,69.15292072
323,0.159926057,3.774700165,3293.296734,102.9155229,48.366,-118.341,67.4465168
324,0.159630209,3.80013442,3377.497753,105.5468048,48.388,-118.181,66.51933114
325,0.162007883,3.820943594,4173.550313,130.4234473,48.411,-118.021,66.5512998
326,0.156413138,3.740516186,3259.038291,101.8449466,48.433,-117.86,67.38738017
327,0.155842707,3.718958139,691.7477836,21.61711824,48.456,-117.7,10.29472286
328,0.161202922,3.762712955,162.9979295,5.093685297,48.478,-117.539,6.191969668
329,0.150451541,3.608169317,444.7612547,13.89878921,48.5,-117.378,57.04788165
330,0.150899202,3.621958256,296.2681945,9.258381079,48.522,-117.217,28.54885883
331,0.148879632,3.563893795,562.8864656,17.59020205,48.565,-116.895,68.71729574
332,0.151420444,3.567669392,1780.4448,55.6389,48.586,-116.734,84.57479972
333,0.153803259,3.66760993,2528.024175,79.00075547,48.628,-116.411,89.59280577
334,0.155563265,3.705123901,2107.43332,65.85729126,48.649,-116.249,92.97112954
335,0.150644794,3.591169596,2277.686334,71.17769795,48.67,-116.087,96.85028049
336,0.1518071,3.58145237,2016.049753,63.00155479,48.69,-115.925,101.1004352
337,0.156020492,3.649918795,1239.185841,38.72455752,48.71,-115.763,105.7426184
